[2026-04-28 17:22:53] PAGE: 20260428_112958 → assets/images | media: 2026-04-28-how-to-look-after-post-50s-health-throug-blog-featured.png
[2026-04-28 17:22:53] PAGE: 20260428_test → assets/images | media: photo.jpg | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/photo.md
[2026-04-28 17:29:00] POST: 20260428_test → assets/images | media: thumb.jpeg, video.mp4 | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/_posts/2026-04-28-thumb.md
[2026-04-28 17:32:42] POST: 20260428_test → assets/images | media: thumb.jpeg, video.mp4 | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/_posts/2026-04-28-thumb.md
[2026-04-28 17:34:26] POST: 20260428_test → assets/images | media: thumb.jpeg, video.mp4 | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/_posts/2026-04-28-thumb.md
[2026-04-28 17:35:19] PAGE: 20260428_test → assets/images | media: photo-1.jpg | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/photo.md
[2026-04-28 17:39:47] PAGE: 20260428_test → assets/images | media: photo-1.jpg | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/photo.md
[2026-04-28 17:41:00] PAGE: 20260428_test → assets/images | media: photo-2.jpg | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/photo.md
[2026-04-28 18:33:57] PAGE: 20260428_health → assets/images | media: featured.png | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/featured.md
[2026-04-28 18:44:22] PAGE: 20260428_backup_test → assets/images | media: image.jpg | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/image.md
[2026-04-28 19:55:57] PAGE: 20260428_112958 → assets/images | media: 2026-04-28-how-to-look-after-post-50s-health-throug-blog-featured-1.png | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/2026-04-28-how-to-look-after-post-50s-health-throug-blog-featured.md
[2026-04-28 19:55:57] POST: 20260428_xxxx → assets/images | media: 2026-04-28-blog-launch-your-complete-guide-to-pos-facebook-day1.png, x.png
[2026-04-28 20:34:09] PAGE: 20260428_112958 → assets | media: none | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/readme.md
[2026-04-28 20:34:09] POST: 20260428_xxxx → assets | media: none | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/_posts/2026-04-28-2026-04-28-post-50s-health-facebook-day1.md
[2026-04-28 20:36:14] POST: 20260428_xxxx → assets | media: none | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/_posts/2026-04-28-2026-04-28-post-50s-health-facebook-day1.md
[2026-04-28 22:40:55] PAGE: 20260428_112958 → assets/images | media: 2026-04-28-how-to-look-after-post-50s-health-throug-blog-featured.png | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/2026-04-28-how-to-look-after-post-50s-health-throug-blog-featured.md
[2026-04-28 22:40:55] POST: 20260428_xxxx → assets/images | media: 2026-04-28-blog-launch-your-complete-guide-to-pos-facebook-day1.png, 2026-04-28-blog-launch-x.png | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/_posts/2026-04-28-2026-04-28-blog-launch-your-complete-guide-to-pos-facebook-day1.md
[2026-04-29 13:15:26] POST: 20260428_reprocess → assets/images | media: 2026-04-28-blog-launch-your-complete-guide-to-pos-facebook-day1-1.png, 2026-04-28-blog-launch-x-1.png | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/_posts/2026-04-28-2026-04-28-blog-launch-your-complete-guide-to-pos-facebook-day1.md
[2026-04-29 13:27:55] POST: 20260429_test → assets/images | media: 2026-04-28-blog-launch-your-complete-guide-to-pos-facebook-day1-2.png, 2026-04-28-blog-launch-x-2.png | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/_posts/2026-04-29-2026-04-28-blog-launch-your-complete-guide-to-pos-facebook-day1.md
[2026-04-29 13:34:08] POST: 20260429_reimport → assets/images | media: 2026-04-28-blog-launch-your-complete-guide-to-pos-facebook-day1-3.png, 2026-04-28-blog-launch-x-3.png | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/_posts/2026-04-29-2026-04-28-blog-launch-your-complete-guide-to-pos-facebook-day1.md
[2026-04-29 13:43:37] POST: 20260429_retest → assets/images | media: 2026-04-28-blog-launch-your-complete-guide-to-pos-facebook-day1-4.png, 2026-04-28-blog-launch-x-4.png | markdown: /Users/lewis/Development/training/Opencode/LBB88/src/_posts/2026-04-29-2026-04-28-blog-launch-your-complete-guide-to-pos-facebook-day1.md
